> #summary of model 
> summary(model_gbm)
                                                                                var     rel.inf
SHOT_DIST                                                                 SHOT_DIST 58.57271156
CLOSE_DEF_DIST                                                       CLOSE_DEF_DIST 25.75650712
CLOSEST_DEFENDERDAVIS, ANTHONY                       CLOSEST_DEFENDERDAVIS, ANTHONY  0.00000000
CLOSEST_DEFENDERDAVIS, ED                                 CLOSEST_DEFENDERDAVIS, ED  0.00000000
CLOSEST_DEFENDERDAVIS, GLEN                             CLOSEST_DEFENDERDAVIS, GLEN  0.00000000
CLOSEST_DEFENDERDAWKINS, ANDRE                       CLOSEST_DEFENDERDAWKINS, ANDRE  0.00000000
CLOSEST_DEFENDERDAYE, AUSTIN                           CLOSEST_DEFENDERDAYE, AUSTIN  0.00000000
CLOSEST_DEFENDERDEDMON, DEWAYNE                     CLOSEST_DEFENDERDEDMON, DEWAYNE  0.00000000
CLOSEST_DEFENDERDELLAVEDOVA, MATTHEW           CLOSEST_DEFENDERDELLAVEDOVA, MATTHEW  0.00000000
CLOSEST_DEFENDERDENG, LUOL                               CLOSEST_DEFENDERDENG, LUOL  0.00000000
CLOSEST_DEFENDERDEROZAN, DEMAR                       CLOSEST_DEFENDERDEROZAN, DEMAR  0.00000000
CLOSEST_DEFENDERDIAW, BORIS                             CLOSEST_DEFENDERDIAW, BORIS  0.00000000
CLOSEST_DEFENDERDIENG, GORGUI                         CLOSEST_DEFENDERDIENG, GORGUI  0.00000000
CLOSEST_DEFENDERDINWIDDIE, SPENCER               CLOSEST_DEFENDERDINWIDDIE, SPENCER  0.00000000
CLOSEST_DEFENDERDORSEY, JOEY                           CLOSEST_DEFENDERDORSEY, JOEY  0.00000000
CLOSEST_DEFENDERDOS SANTOS, ATILA                 CLOSEST_DEFENDERDOS SANTOS, ATILA  0.00000000
CLOSEST_DEFENDERDOUGLAS-ROBERTS, CHRIS       CLOSEST_DEFENDERDOUGLAS-ROBERTS, CHRIS  0.00000000
CLOSEST_DEFENDERDOUGLAS, TONEY                       CLOSEST_DEFENDERDOUGLAS, TONEY  0.00000000
CLOSEST_DEFENDERDRAGIC, GORAN                         CLOSEST_DEFENDERDRAGIC, GORAN  0.00000000
CLOSEST_DEFENDERDRAGIC, ZORAN                         CLOSEST_DEFENDERDRAGIC, ZORAN  0.00000000
CLOSEST_DEFENDERDREW, LARRY                             CLOSEST_DEFENDERDREW, LARRY  0.00000000
CLOSEST_DEFENDERDRUMMOND, ANDRE                     CLOSEST_DEFENDERDRUMMOND, ANDRE  0.00000000
CLOSEST_DEFENDERDUDLEY, JARED                         CLOSEST_DEFENDERDUDLEY, JARED  0.00000000
CLOSEST_DEFENDERDUNCAN, TIM                             CLOSEST_DEFENDERDUNCAN, TIM  0.00000000
CLOSEST_DEFENDERDUNLEAVY, MIKE                       CLOSEST_DEFENDERDUNLEAVY, MIKE  0.00000000
CLOSEST_DEFENDERDURANT, KEVIN                         CLOSEST_DEFENDERDURANT, KEVIN  0.00000000
CLOSEST_DEFENDEREARLY, CLEANTHONY                 CLOSEST_DEFENDEREARLY, CLEANTHONY  0.00000000
CLOSEST_DEFENDERELLINGTON, WAYNE                   CLOSEST_DEFENDERELLINGTON, WAYNE  0.00000000
CLOSEST_DEFENDERELLIS, MONTA                           CLOSEST_DEFENDERELLIS, MONTA  0.00000000
CLOSEST_DEFENDERENNIS, JAMES                           CLOSEST_DEFENDERENNIS, JAMES  0.00000000
CLOSEST_DEFENDERENNIS, TYLER                           CLOSEST_DEFENDERENNIS, TYLER  0.00000000
CLOSEST_DEFENDEREVANS, JEREMY                         CLOSEST_DEFENDEREVANS, JEREMY  0.00000000
CLOSEST_DEFENDEREVANS, REGGIE                         CLOSEST_DEFENDEREVANS, REGGIE  0.00000000
CLOSEST_DEFENDEREVANS, TYREKE                         CLOSEST_DEFENDEREVANS, TYREKE  0.00000000
CLOSEST_DEFENDEREXUM, DANTE                             CLOSEST_DEFENDEREXUM, DANTE  0.00000000
CLOSEST_DEFENDEREZELI, FESTUS                         CLOSEST_DEFENDEREZELI, FESTUS  0.00000000
CLOSEST_DEFENDERFARIED, KENNETH                     CLOSEST_DEFENDERFARIED, KENNETH  0.00000000
CLOSEST_DEFENDERFARMAR, JORDAN                       CLOSEST_DEFENDERFARMAR, JORDAN  0.00000000
CLOSEST_DEFENDERFAVORS, DERRICK                     CLOSEST_DEFENDERFAVORS, DERRICK  0.00000000
CLOSEST_DEFENDERFELTON, RAYMOND                     CLOSEST_DEFENDERFELTON, RAYMOND  0.00000000
CLOSEST_DEFENDERFIELDS, LANDRY                       CLOSEST_DEFENDERFIELDS, LANDRY  0.00000000
CLOSEST_DEFENDERFOURNIER, EVAN                       CLOSEST_DEFENDERFOURNIER, EVAN  0.00000000
CLOSEST_DEFENDERFOYE, RANDY                             CLOSEST_DEFENDERFOYE, RANDY  0.00000000
CLOSEST_DEFENDERFRAZIER, TIM                           CLOSEST_DEFENDERFRAZIER, TIM  0.00000000
CLOSEST_DEFENDERFREDETTE, JIMMER                   CLOSEST_DEFENDERFREDETTE, JIMMER  0.00000000
CLOSEST_DEFENDERFREELAND, JOEL                       CLOSEST_DEFENDERFREELAND, JOEL  0.00000000
CLOSEST_DEFENDERFRYE, CHANNING                       CLOSEST_DEFENDERFRYE, CHANNING  0.00000000
CLOSEST_DEFENDERGALLINARI, DANILO                 CLOSEST_DEFENDERGALLINARI, DANILO  0.00000000
CLOSEST_DEFENDERGALLOWAY, LANGSTON               CLOSEST_DEFENDERGALLOWAY, LANGSTON  0.00000000
CLOSEST_DEFENDERGARCIA, FRANCISCO                 CLOSEST_DEFENDERGARCIA, FRANCISCO  0.00000000
CLOSEST_DEFENDERGARNETT, KEVIN                       CLOSEST_DEFENDERGARNETT, KEVIN  0.00000000
CLOSEST_DEFENDERGASOL, MARC                             CLOSEST_DEFENDERGASOL, MARC  0.00000000
CLOSEST_DEFENDERGASOL, PAU                               CLOSEST_DEFENDERGASOL, PAU  0.00000000
CLOSEST_DEFENDERGAY, RUDY                                 CLOSEST_DEFENDERGAY, RUDY  0.00000000
CLOSEST_DEFENDERGEE, ALONZO                             CLOSEST_DEFENDERGEE, ALONZO  0.00000000
CLOSEST_DEFENDERGIBSON, TAJ                             CLOSEST_DEFENDERGIBSON, TAJ  0.00000000
CLOSEST_DEFENDERGINOBILI, MANU                       CLOSEST_DEFENDERGINOBILI, MANU  0.00000000
CLOSEST_DEFENDERGOBERT, RUDY                           CLOSEST_DEFENDERGOBERT, RUDY  0.00000000
CLOSEST_DEFENDERGOODEN, DREW                           CLOSEST_DEFENDERGOODEN, DREW  0.00000000
CLOSEST_DEFENDERGOODWIN, ARCHIE                     CLOSEST_DEFENDERGOODWIN, ARCHIE  0.00000000
CLOSEST_DEFENDERGORDON, AARON                         CLOSEST_DEFENDERGORDON, AARON  0.00000000
CLOSEST_DEFENDERGORDON, BEN                             CLOSEST_DEFENDERGORDON, BEN  0.00000000
CLOSEST_DEFENDERGORDON, DREW                           CLOSEST_DEFENDERGORDON, DREW  0.00000000
CLOSEST_DEFENDERGORDON, ERIC                           CLOSEST_DEFENDERGORDON, ERIC  0.00000000
CLOSEST_DEFENDERGORTAT, MARCIN                       CLOSEST_DEFENDERGORTAT, MARCIN  0.00000000
CLOSEST_DEFENDERGRANGER, DANNY                       CLOSEST_DEFENDERGRANGER, DANNY  0.00000000
CLOSEST_DEFENDERGRANT, JERAMI                         CLOSEST_DEFENDERGRANT, JERAMI  0.00000000
CLOSEST_DEFENDERGREEN, DANNY                           CLOSEST_DEFENDERGREEN, DANNY  0.00000000
CLOSEST_DEFENDERGREEN, DRAYMOND                     CLOSEST_DEFENDERGREEN, DRAYMOND  0.00000000
CLOSEST_DEFENDERGREEN, ERICK                           CLOSEST_DEFENDERGREEN, ERICK  0.00000000
CLOSEST_DEFENDERGREEN, GERALD                         CLOSEST_DEFENDERGREEN, GERALD  0.00000000
CLOSEST_DEFENDERGREEN, JAMYCHAL                     CLOSEST_DEFENDERGREEN, JAMYCHAL  0.00000000
CLOSEST_DEFENDERGREEN, JEFF                             CLOSEST_DEFENDERGREEN, JEFF  0.00000000
CLOSEST_DEFENDERGREEN, WILLIE                         CLOSEST_DEFENDERGREEN, WILLIE  0.00000000
CLOSEST_DEFENDERGRIFFIN, BLAKE                       CLOSEST_DEFENDERGRIFFIN, BLAKE  0.00000000
CLOSEST_DEFENDERGUTIERREZ, JORGE                   CLOSEST_DEFENDERGUTIERREZ, JORGE  0.00000000
CLOSEST_DEFENDERHAIRSTON, PJ                           CLOSEST_DEFENDERHAIRSTON, PJ  0.00000000
CLOSEST_DEFENDERHAMILTON, JORDAN                   CLOSEST_DEFENDERHAMILTON, JORDAN  0.00000000
CLOSEST_DEFENDERHAMILTON, JUSTIN                   CLOSEST_DEFENDERHAMILTON, JUSTIN  0.00000000
CLOSEST_DEFENDERHANSBROUGH, TYLER                 CLOSEST_DEFENDERHANSBROUGH, TYLER  0.00000000
CLOSEST_DEFENDERHARDEN, JAMES                         CLOSEST_DEFENDERHARDEN, JAMES  0.00000000
CLOSEST_DEFENDERHARKLESS, MAURICE                 CLOSEST_DEFENDERHARKLESS, MAURICE  0.00000000
CLOSEST_DEFENDERHARRIS, DEVIN                         CLOSEST_DEFENDERHARRIS, DEVIN  0.00000000
CLOSEST_DEFENDERHARRIS, GARY                           CLOSEST_DEFENDERHARRIS, GARY  0.00000000
CLOSEST_DEFENDERHARRIS, JOE                             CLOSEST_DEFENDERHARRIS, JOE  0.00000000
CLOSEST_DEFENDERHARRIS, TOBIAS                       CLOSEST_DEFENDERHARRIS, TOBIAS  0.00000000
CLOSEST_DEFENDERHASLEM, UDONIS                       CLOSEST_DEFENDERHASLEM, UDONIS  0.00000000
CLOSEST_DEFENDERHAWES, SPENCER                       CLOSEST_DEFENDERHAWES, SPENCER  0.00000000
CLOSEST_DEFENDERHAYES, CHARLES                       CLOSEST_DEFENDERHAYES, CHARLES  0.00000000
CLOSEST_DEFENDERHAYWARD, GORDON                     CLOSEST_DEFENDERHAYWARD, GORDON  0.00000000
CLOSEST_DEFENDERHAYWOOD, BRENDAN                   CLOSEST_DEFENDERHAYWOOD, BRENDAN  0.00000000
CLOSEST_DEFENDERHENDERSON, GERALD                 CLOSEST_DEFENDERHENDERSON, GERALD  0.00000000
CLOSEST_DEFENDERHENRY, XAVIER                         CLOSEST_DEFENDERHENRY, XAVIER  0.00000000
CLOSEST_DEFENDERHENSON, JOHN                           CLOSEST_DEFENDERHENSON, JOHN  0.00000000
CLOSEST_DEFENDERHIBBERT, ROY                           CLOSEST_DEFENDERHIBBERT, ROY  0.00000000
CLOSEST_DEFENDERHICKSON, JJ                             CLOSEST_DEFENDERHICKSON, JJ  0.00000000
CLOSEST_DEFENDERHILL, GEORGE                           CLOSEST_DEFENDERHILL, GEORGE  0.00000000
CLOSEST_DEFENDERHILL, JORDAN                           CLOSEST_DEFENDERHILL, JORDAN  0.00000000
CLOSEST_DEFENDERHILL, SOLOMON                         CLOSEST_DEFENDERHILL, SOLOMON  0.00000000
CLOSEST_DEFENDERHINRICH, KIRK                         CLOSEST_DEFENDERHINRICH, KIRK  0.00000000
CLOSEST_DEFENDERHOLIDAY, JRUE                         CLOSEST_DEFENDERHOLIDAY, JRUE  0.00000000
CLOSEST_DEFENDERHOLIDAY, JUSTIN                     CLOSEST_DEFENDERHOLIDAY, JUSTIN  0.00000000
CLOSEST_DEFENDERHOLLINS, RYAN                         CLOSEST_DEFENDERHOLLINS, RYAN  0.00000000
CLOSEST_DEFENDERHOOD, RODNEY                           CLOSEST_DEFENDERHOOD, RODNEY  0.00000000
CLOSEST_DEFENDERHORFORD, AL                             CLOSEST_DEFENDERHORFORD, AL  0.00000000
CLOSEST_DEFENDERHOWARD, DWIGHT                       CLOSEST_DEFENDERHOWARD, DWIGHT  0.00000000
CLOSEST_DEFENDERHUMMEL, ROBBIE                       CLOSEST_DEFENDERHUMMEL, ROBBIE  0.00000000
CLOSEST_DEFENDERHUMPHRIES, KRIS                     CLOSEST_DEFENDERHUMPHRIES, KRIS  0.00000000
CLOSEST_DEFENDERIBAKA, SERGE                           CLOSEST_DEFENDERIBAKA, SERGE  0.00000000
CLOSEST_DEFENDERIGUODALA, ANDRE                     CLOSEST_DEFENDERIGUODALA, ANDRE  0.00000000
CLOSEST_DEFENDERILYASOVA, ERSAN                     CLOSEST_DEFENDERILYASOVA, ERSAN  0.00000000
CLOSEST_DEFENDERINGLES, JOE                             CLOSEST_DEFENDERINGLES, JOE  0.00000000
CLOSEST_DEFENDERIRVING, KYRIE                         CLOSEST_DEFENDERIRVING, KYRIE  0.00000000
CLOSEST_DEFENDERJACK, JARRETT                         CLOSEST_DEFENDERJACK, JARRETT  0.00000000
CLOSEST_DEFENDERJACKSON, REGGIE                     CLOSEST_DEFENDERJACKSON, REGGIE  0.00000000
CLOSEST_DEFENDERJAMES, BERNARD                       CLOSEST_DEFENDERJAMES, BERNARD  0.00000000
CLOSEST_DEFENDERJAMES, LEBRON                         CLOSEST_DEFENDERJAMES, LEBRON  0.00000000
CLOSEST_DEFENDERJEFFERSON, AL                         CLOSEST_DEFENDERJEFFERSON, AL  0.00000000
CLOSEST_DEFENDERJEFFERSON, CORY                     CLOSEST_DEFENDERJEFFERSON, CORY  0.00000000
CLOSEST_DEFENDERJEFFERSON, RICHARD               CLOSEST_DEFENDERJEFFERSON, RICHARD  0.00000000
CLOSEST_DEFENDERJENKINS, JOHN                         CLOSEST_DEFENDERJENKINS, JOHN  0.00000000
CLOSEST_DEFENDERJENNINGS, BRANDON                 CLOSEST_DEFENDERJENNINGS, BRANDON  0.00000000
CLOSEST_DEFENDERJEREBKO, JONAS                       CLOSEST_DEFENDERJEREBKO, JONAS  0.00000000
CLOSEST_DEFENDERJERRETT, GRANT                       CLOSEST_DEFENDERJERRETT, GRANT  0.00000000
