CLOSEST_DEFENDER,player_name,LOCATION,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME
"FREELAND, JOEL","JR, TIME",,,,149,14.9,,15
"FRYE, CHANNING","KAMAN, CHRIS",,,,150,15,,15.1
"GALLINARI, DANILO","KANTER, ENES",,,,151,15.1,,15.2
"GALLOWAY, LANGSTON","KNIGHT, BRANDON",,,,152,15.2,,15.3
"GARCIA, FRANCISCO","KORVER, KYLE",,,,153,15.3,,15.4
"GARNETT, KEVIN","KOUFOS, KOSTA",,,,154,15.4,,15.5
"GASOL, MARC","LAMB, JEREMY",,,,155,15.5,,15.6
"GASOL, PAU","LANDRY, CARL",,,,156,15.6,,15.7
"GAY, RUDY","LARKIN, SHANE",,,,157,15.7,,15.8
"GEE, ALONZO","LAVINE, ZACH",,,,158,15.8,,15.9
"GIBSON, TAJ","LAWSON, TY",,,,159,15.9,,16
"GINOBILI, MANU","LEE, COURTNEY",,,,160,16,,16.1
"GOBERT, RUDY","LEN, ALEX",,,,161,16.1,,16.2
"GOODEN, DREW","LEONARD, KAWHI",,,,162,16.2,,16.3
"GOODWIN, ARCHIE","LEUER, JON",,,,163,16.3,,16.4
"GORDON, AARON","LILLARD, DAMIAN",,,,164,16.4,,16.5
"GORDON, BEN","LIN, JEREMY",,,,165,16.5,,16.6
"GORDON, DREW","LIVINGSTON, SHAUN",,,,166,16.6,,16.7
"GORDON, ERIC","LOPEZ, BROOK",,,,167,16.7,,16.8
"GORTAT, MARCIN","LOVE, KEVIN",,,,168,16.8,,16.9
"GRANGER, DANNY","LOWRY, KYLE",,,,169,16.9,,17
"GRANT, JERAMI","MARION, SHAWN",,,,170,17,,17.1
"GREEN, DANNY","MATTHEWS, WESLEY",,,,171,17.1,,17.2
"GREEN, DRAYMOND","MAXIELL, JASON",,,,172,17.2,,17.3
"GREEN, ERICK","MAYO, OJ",,,,173,17.3,,17.4
"GREEN, GERALD","MCCALLUM, RAY",,,,174,17.4,,17.5
"GREEN, JAMYCHAL","MCCOLLUM, CJ",,,,175,17.5,,17.6
"GREEN, JEFF","MCDANIELS, KJ",,,,176,17.6,,17.7
"GREEN, WILLIE","MCLEMORE, BEN",,,,177,17.7,,17.8
"GRIFFIN, BLAKE","MIDDLETON, KHRIS",,,,178,17.8,,17.9
"GUTIERREZ, JORGE","MILES, CJ",,,,179,17.9,,18
"HAIRSTON, PJ","MILLER, ANDRE",,,,180,18,,18.1
"HAMILTON, JORDAN","MILLER, MIKE",,,,181,18.1,,18.2
"HAMILTON, JUSTIN","MILLSAP, PAUL",,,,182,18.2,,18.3
"HANSBROUGH, TYLER","MIROTIC, NIKOLA",,,,183,18.3,,18.4
"HARDAWAY JR, TIM","MONROE, GREG",,,,184,18.4,,18.5
"HARDEN, JAMES","MORRIS, MARCUS",,,,185,18.5,,18.6
"HARKLESS, MAURICE","MORRIS, MARKIEFF",,,,186,18.6,,18.7
"HARRIS, DEVIN","MORROW, ANTHONY",,,,187,18.7,,18.8
"HARRIS, GARY","MOTIEJUNAS, DONATAS",,,,188,18.8,,18.9
"HARRIS, JOE","MOUTE, LUC",,,,189,18.9,,19
"HARRIS, TOBIAS","MOZGOV, TIMOFEY",,,,190,19,,19.1
"HASLEM, UDONIS","MUHAMMAD, SHABAZZ",,,,191,19.1,,19.2
"HAWES, SPENCER","NAPIER, SHABAZZ",,,,192,19.2,,19.3
"HAYES, CHARLES","NEAL, GARY",,,,193,19.3,,19.4
"HAYWARD, GORDON","NOAH, JOAKIM",,,,194,19.4,,19.5
"HAYWOOD, BRENDAN","NOEL, NERLES",,,,195,19.5,,19.6
"HENDERSON, GERALD","NOWTIZSKI, DIRK",,,,196,19.6,,19.7
"HENRY, XAVIER","NURKIC, JUSUF",,,,197,19.7,,19.8
"HENSON, JOHN","OLADIPO, VICTOR",,,,198,19.8,,19.9
"HIBBERT, ROY","OLYNYK, KELLY",,,,199,19.9,,20
"HICKSON, JJ","OQUINN, KYLE",,,,200,20,,20.1
"HILL, GEORGE","PACHULIA, ZAZA",,,,201,20.1,,20.2
"HILL, JORDAN","PAPANIKOLAOU, KOSTAS",,,,202,20.2,,20.3
"HILL, SOLOMON","PARKER, TONY",,,,203,20.3,,20.4
"HINRICH, KIRK","PARSONS, CHANDLER",,,,204,20.4,,20.5
"HOLIDAY, JRUE","PATTERSON, PATRICK",,,,205,20.5,,20.6
"HOLIDAY, JUSTIN","PAUL, CHRIS",,,,206,20.6,,20.7
"HOLLINS, RYAN","PAYTON, ELFRID",,,,207,20.7,,20.8
"HOOD, RODNEY","PERKINS, KENDRICK",,,,208,20.8,,20.9
"HORFORD, AL","PIERCE, PAUL",,,,209,20.9,,21
